Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1260000,0.42302433,-0.051450085,0.1474273,0.00165249,0.06649426,0.00026266195,0.18755399,0.008756642,0.06644367,0.08755048,958.2258064516129,-0.7008000508912148,-0.7008000508912148,1.2941178809851408,1.0
1290000,0.54250634,-0.057787236,0.15329064,0.0021210606,0.06895801,0.0002617671,0.18725571,0.008726843,0.07219243,0.0968911,952.5483870967741,-0.6951677909781856,-0.6951677909781856,1.4060877452213918,1.0
1320000,0.5433456,-0.038850177,0.16258846,0.00171987,0.065594114,0.00026087154,0.18695717,0.008697021,0.07328392,0.11698472,921.625,-0.6097437983844429,-0.6097437983844429,1.402445059211459,1.0
1350000,0.4868414,-0.032507624,0.15419392,0.003317566,0.066252306,0.00025997192,0.1866573,0.008667064,0.071268894,0.08094007,883.5555555555555,-0.21740004647937086,-0.21740004647937086,1.288386529363278,1.0
1380000,0.45516908,-0.054668944,0.15025058,0.0015694579,0.06692194,0.0002590741,0.18635805,0.008637167,0.07174864,0.07004343,991.7241379310345,-0.7854345366358757,-0.7854345366358757,1.499910220503807,1.0
1410000,0.5121559,-0.06863946,0.14108235,0.0013802684,0.06720711,0.00025817778,0.18605925,0.00860732,0.07238825,0.0730687,962.3939393939394,-0.7205879306702903,-0.7205879306702903,1.4135232757438312,1.0
1440000,0.5777363,-0.030246323,0.14274247,0.0022748117,0.071794555,0.0002572543,0.18575141,0.008576567,0.07123625,0.094471656,867.5714285714286,-0.41094290103231157,-0.41094290103231157,1.2705064680427314,1.0
1470000,0.5229634,-0.025694747,0.14342631,0.00245528,0.06942826,0.00025633158,0.18544385,0.00854584,0.07238086,0.07474582,933.8709677419355,-0.48278069496154785,-0.48278069496154785,1.383782953624764,1.0
1500000,0.47883105,-0.031950865,0.14916873,0.0016009206,0.06981975,0.00025544243,0.18514748,0.008516231,0.06961518,0.06770528,938.3666666666667,-0.5389400452375412,-0.5389400452375412,1.3551369044929742,1.0
1530000,0.407447,-0.044106126,0.14614743,0.0020853665,0.06904601,0.0002545529,0.18485095,0.008486609,0.07023577,0.06283991,951.939393939394,-0.5135063040070236,-0.5135063040070236,1.35093811454135,1.0
1560000,0.42856076,-0.036716256,0.14598058,0.001809271,0.068179324,0.0002536609,0.18455362,0.008456906,0.06784237,0.064612314,921.25,-0.43924247631520935,-0.43924247631520935,1.315454809728897,1.0
1590000,0.46290776,-0.05865805,0.14334024,0.0010874738,0.06970037,0.00025276595,0.18425533,0.008427105,0.0693277,0.081491485,942.3636363636364,-0.6285312992986292,-0.6285312992986292,1.3436473938636482,1.0
1620000,0.52980953,0.01158693,0.15186785,0.0040461672,0.0642707,0.00025187153,0.18395714,0.008397321,0.07103664,0.06849294,840.8055555555555,-0.03457842062453966,-0.03457842062453966,1.2241110756389193,1.0
1650000,0.54631746,0.042881522,0.15341315,0.0027892424,0.06602344,0.00025095014,0.18365006,0.008366641,0.07116035,0.07950853,829.3428571428572,-0.02969147584268025,-0.02969147584268025,1.2227069670999688,1.0
1680000,0.5939878,0.05193617,0.14944406,0.0026204528,0.072291546,0.00025002126,0.1833404,0.008335706,0.06947301,0.0769969,873.2,-0.30221719124487467,-0.30221719124487467,1.2470067862155183,1.0
1710000,0.5783556,0.10019294,0.1437709,0.0064228987,0.070553236,0.00024912064,0.18304022,0.008305716,0.07081951,0.08136074,756.8048780487804,0.28330995943397286,0.28330995943397286,1.1224478699732572,1.0
1740000,0.5274229,0.06864737,0.14386268,0.0055844607,0.06909305,0.00024822235,0.18274076,0.008275803,0.07339553,0.06830016,733.1794871794872,0.4255799546837807,0.4255799546837807,1.0762242590310052,1.0
1770000,0.52389574,0.17321047,0.13545291,0.0064295637,0.073769815,0.00024733294,0.18244432,0.008246185,0.067178324,0.071577884,741.7674418604652,0.606897636035154,0.606897636035154,1.0684783814561576,1.0
1800000,0.50486654,0.17548625,0.13307263,0.008421379,0.06673377,0.00024644443,0.18214811,0.008216599,0.06259077,0.06690605,652.9318181818181,0.8433255482205125,0.8433255482205125,0.8309223342600257,1.0
1830000,0.48388243,0.15979272,0.13137,0.0066704387,0.06799526,0.0002455538,0.18185125,0.00818694,0.062569566,0.058959227,734.0243902439024,0.4499190121534325,0.4499190121534325,0.9715872581471645,1.0
1860000,0.54400945,0.24416342,0.111821726,0.007096965,0.06952312,0.00024466828,0.18155609,0.008157453,0.056969557,0.06063608,589.2941176470588,0.9007725223314529,0.9007725223314529,0.7005441313992966,1.0
1890000,0.5123707,0.3444449,0.119524606,0.008310833,0.07299479,0.00024374902,0.18124968,0.00812684,0.054735705,0.060921766,568.6785714285714,1.0026581493290987,1.0026581493290987,0.6526263264600526,1.0
1920000,0.43699524,0.32346237,0.116689526,0.009254985,0.0694864,0.00024282375,0.18094124,0.008096029,0.053095054,0.047244962,562.843137254902,1.1209807394502254,1.1209807394502254,0.6196792747359723,1.0
1950000,0.4328904,0.30189785,0.1126624,0.0090193255,0.067359045,0.0002419347,0.1806449,0.008066425,0.04916083,0.044618525,556.7884615384615,1.0969345857604191,1.0969345857604191,0.5844580527762167,1.0
1980000,0.42740124,0.33327344,0.10570275,0.009437514,0.06679682,0.00024104973,0.1803499,0.008036954,0.04579148,0.03955246,539.0,1.1558203235016031,1.1558203235016031,0.5095060833619308,1.0
2010000,0.45722908,0.35396582,0.09503226,0.00911897,0.07003927,0.0002401541,0.18005134,0.008007131,0.045426894,0.03708735,514.728813559322,1.2818237087231572,1.2818237087231572,0.48915052102381457,1.0
2040000,0.47820523,0.33467108,0.10628147,0.010080271,0.06948715,0.00023926745,0.1797558,0.007977603,0.04978967,0.05165117,519.8,1.225585417178544,1.225585417178544,0.525348410281268,1.0
2070000,0.49342895,0.45292172,0.123302676,0.011757875,0.069652416,0.00023835074,0.17945024,0.007947078,0.04356403,0.05138742,442.77464788732397,1.3780753338250562,1.3780753338250562,0.4120840867171469,1.0
2100000,0.46188745,0.47337824,0.099110715,0.010389329,0.0720387,0.00023742688,0.17914227,0.007916314,0.04067389,0.037582483,419.7647058823529,1.441805692229952,1.441805692229952,0.3630756108738881,1.0
2130000,0.45530748,0.5548965,0.08241449,0.011473266,0.0683519,0.00023653587,0.17884529,0.007886643,0.039253537,0.030360049,398.0394736842105,1.4703394587298757,1.4703394587298757,0.32061568054211276,1.0
2160000,0.45029098,0.5062358,0.09191196,0.013018968,0.066450246,0.0002356455,0.17854849,0.007856993,0.03771958,0.03702026,424.35616438356163,1.4660273735245613,1.4660273735245613,0.34206602071118475,1.0
2190000,0.42706707,0.53198093,0.07356389,0.012843208,0.07060555,0.00023476059,0.17825352,0.007827526,0.03629332,0.04088395,359.9382716049383,1.590654303262263,1.590654303262263,0.2719724780310773,1.0
